Bayer Name	RA	Dec	Mag
55 Cas	2.24	66.52	6.05
Pi 2Hyi	2.26	-67.75	5.67
21 Ari	2.26	25.04	5.57
20 Ari	2.26	25.78	5.79
7 Tri	2.27	33.36	5.25
Phi Eri	2.28	-51.51	3.56
67 Cet	2.28	-6.42	5.51
8Del Tri	2.28	34.22	4.84
9Gam Tri	2.29	33.85	4.03
8 Per	2.30	57.90	5.75
7 Per	2.30	57.52	5.99
22The Ari	2.30	19.90	5.58
10 Tri	2.32	28.64	5.29
62 And	2.32	47.38	5.31
68Omi Cet	2.32	-2.98	6.47
63 And	2.35	50.15	5.57
Del Hyi	2.36	-68.66	4.08
69 Cet	2.37	0.40	5.29
70 Cet	2.37	-0.88	5.42
9 Per	2.37	55.85	5.16
Kap For	2.38	-23.82	5.19
Kap Hyi	2.38	-73.65	5.99
64 And	2.41	50.01	5.19
24Xi  Ari	2.41	10.61	5.48
Lam Hor	2.41	-60.31	5.36
71 Cet	2.42	-2.78	6.34
10 Per	2.42	56.61	6.25
65 And	2.43	50.28	4.73
72Rho Cet	2.43	-12.29	4.88
Kap Eri	2.45	-47.70	4.24
11 Tri	2.46	31.80	5.55
66 And	2.46	50.57	6.16
Phi For	2.47	-33.81	5.13
73Xi 2Cet	2.47	8.46	4.3
12 Tri	2.47	29.67	5.29
13 Tri	2.48	29.93	5.89
Iot Cas	2.48	67.40	4.46
26 Ari	2.51	19.86	6.14
27 Ari	2.52	17.70	6.21
Mu  Hyi	2.53	-79.11	5.27
1Alp UMi	2.53	89.26	1.97
76Sig Cet	2.53	-15.24	4.74
14 Tri	2.54	36.15	5.15
75 Cet	2.54	-1.03	5.36
29 Ari	2.55	15.03	6
Lam1For	2.55	-34.65	5.91
Ome For	2.56	-28.23	4.96
77 Cet	2.58	-7.86	5.74
15 Tri	2.60	34.69	5.38
78Nu  Cet	2.60	5.59	4.87
80 Cet	2.60	-7.83	5.53
Iot1For	2.60	-30.04	5.74
31 Ari	2.61	12.45	5.64
30 Ari	2.62	24.65	7.1
Lam2For	2.62	-34.58	5.78
30 Ari	2.62	24.65	6.48
Eta Hor	2.62	-52.54	5.3
81 Cet	2.63	-3.40	5.65
Iot2For	2.64	-30.19	5.84
32Nu  Ari	2.65	21.96	5.45
82Del Cet	2.66	0.33	4.08
83Eps Cet	2.66	-11.87	4.83
Eps Hyi	2.66	-68.27	4.12
Zet Hor	2.68	-54.55	5.21
Iot Eri	2.68	-39.86	4.11
33 Ari	2.68	27.06	5.3
84 Cet	2.69	-0.70	5.72
12 Per	2.70	40.19	4.91
34Mu  Ari	2.71	20.01	5.74
Iot Hor	2.71	-50.80	5.4
11 Per	2.72	55.11	5.76
86Gam Cet	2.72	3.24	3.47
35 Ari	2.72	27.71	4.65
14 Per	2.73	44.30	5.43
89Pi  Cet	2.74	-13.86	4.24
13The Per	2.74	49.23	4.1
36 Ari	2.74	17.76	6.4
37Omi Ari	2.74	15.31	5.78
87Mu  Cet	2.75	10.11	4.27
38 Ari	2.75	12.45	5.17
1Tau1Eri	2.75	-18.57	4.47
Gam Hor	2.76	-63.70	5.73
Zet Hyi	2.76	-67.62	4.83
Eta1For	2.79	-35.55	6.51
39 Ari	2.80	29.25	4.52
40 Ari	2.81	18.28	5.83
Nu  Hor	2.82	-62.81	5.25
Bet For	2.82	-32.41	4.45
42Pi  Ari	2.82	17.46	5.26
Gam1For	2.83	-24.56	6.14
Gam2For	2.83	-27.94	5.39
41 Ari	2.83	27.26	3.61
Eta2For	2.84	-35.84	5.92
Nu  Hyi	2.84	-75.07	4.76
16 Per	2.84	38.32	4.22
Eta3For	2.84	-35.68	5.48
15Eta Per	2.84	55.90	3.77
2Tau2Eri	2.85	-21.00	4.76
43Sig Ari	2.86	15.08	5.52
17 Per	2.86	35.06	4.56
Psi For	2.89	-38.44	5.93
20 Per	2.90	38.34	5.34
18Tau Per	2.90	52.76	3.93
45Rho2Ari	2.93	18.33	5.76
3Eta Eri	2.94	-8.90	3.89
46Rho3Ari	2.94	18.02	5.58
21 Per	2.95	31.93	5.1
4 Eri	2.96	-23.86	5.44
47 Ari	2.97	20.67	5.8
6 Eri	2.97	-23.61	5.82
The1Eri	2.97	-40.30	2.88
22Pi  Per	2.98	39.66	4.68
Bet Hor	2.98	-64.07	4.98
24 Per	2.98	35.18	4.94
48Eps Ari	2.99	21.34	4.63
Zet For	2.99	-25.27	5.69
5 Eri	2.99	-2.46	5.56
91Lam Cet	3.00	8.91	4.71
7 Eri	3.01	-2.88	6.11
8Rho1Eri	3.02	-7.66	5.75
Eps For	3.03	-28.09	5.88
49 Ari	3.03	26.46	5.91
The Hyi	3.04	-71.90	5.51
92Alp Cet	3.04	4.09	2.54
93 Cet	3.04	4.35	5.62
11Tau3Eri	3.04	-23.62	4.08
9Rho2Eri	3.05	-7.69	5.32
Mu  Hor	3.06	-59.74	5.12
10Rho3Eri	3.07	-7.60	5.26
23Gam Per	3.08	53.51	2.91
25Rho Per	3.09	38.84	3.32
52 Ari	3.09	25.26	5.45
53 Ari	3.12	17.88	6.13
26Bet Per	3.14	40.96	2.09
54 Ari	3.14	18.80	6.24
Iot Per	3.15	49.61	4.05
27Kap Per	3.16	44.86	3.79
55 Ari	3.16	29.08	5.74
28Ome Per	3.19	39.61	4.61
57Del Ari	3.19	19.73	4.35
Alp For	3.20	-28.99	3.8
56 Ari	3.20	27.26	5.78
94 Cet	3.21	-1.20	5.07
58Zet Ari	3.25	21.04	4.87
13Zet Eri	3.26	-8.82	4.8
Iot Hyi	3.27	-77.39	5.51
14 Eri	3.28	-9.15	6.14
Zet1Ret	3.30	-62.58	5.53
30 Per	3.30	44.03	5.49
Zet2Ret	3.30	-62.51	5.24
15 Eri	3.31	-22.51	4.86
95 Cet	3.31	-0.93	5.62
29 Per	3.31	50.22	5.16
31 Per	3.32	50.10	5.05
96Kap1Cet	3.32	3.37	4.84
16Tau4Eri	3.33	-21.76	3.7
59 Ari	3.33	27.07	5.91
60 Ari	3.34	25.66	6.14
97Kap2Cet	3.35	3.68	5.7
61Tau1Ari	3.35	21.15	5.27
32 Per	3.36	43.33	4.96
62 Ari	3.37	27.61	5.55
63Tau2Ari	3.38	20.74	5.1
64 Ari	3.41	24.72	5.5
33Alp Per	3.41	49.86	1.79
65 Ari	3.41	20.80	6.07
1Omi Tau	3.41	9.03	3.61
Chi1For	3.43	-35.92	6.39
2Xi  Tau	3.45	9.73	3.73
Chi2For	3.46	-35.68	5.71
Chi3For	3.47	-35.85	6.49
66 Ari	3.47	22.80	6.03
34 Per	3.49	49.51	4.67
Kap Ret	3.49	-62.94	4.71
4 Tau	3.51	11.34	5.14
35Sig Per	3.51	48.00	4.36
17 Eri	3.51	-5.08	4.74
5 Tau	3.51	12.94	4.14
36 Per	3.54	46.06	5.3
6 Tau	3.54	9.37	5.76
18Eps Eri	3.55	-9.46	3.72
19Tau5Eri	3.56	-21.63	4.26
7 Tau	3.57	24.46	5.95
20 Eri	3.60	-17.47	5.24
37Psi Per	3.61	48.19	4.32
10 Tau	3.61	0.40	4.29
Tau For	3.65	-27.94	6.01
21 Eri	3.65	-5.63	5.97
12 Tau	3.66	3.06	5.55
22 Eri	3.68	-5.21	5.53
11 Tau	3.68	25.33	6.11
Del For	3.70	-31.94	4.99
13 Tau	3.71	19.70	5.68
40 Per	3.71	33.97	4.97
39Del Per	3.72	47.79	3.01
