Bayer Name	RA	Dec	Mag
11Bet Crt	11.19	-22.83	4.46
Psi Crt	11.21	-18.50	6.11
69 Leo	11.23	-0.07	5.4
68Del Leo	11.24	20.52	2.56
70The Leo	11.24	15.43	3.33
72 Leo	11.25	23.10	4.56
73 Leo	11.26	13.31	5.31
74Phi Leo	11.28	-3.65	4.45
75 Leo	11.29	2.01	5.18
54Nu  UMa	11.31	33.09	3.49
76 Leo	11.32	1.65	5.9
55 UMa	11.32	38.19	4.76
12Del Crt	11.32	-14.78	3.56
Pi  Cen	11.35	-54.49	3.9
77Sig Leo	11.35	6.03	4.05
56 UMa	11.38	43.48	4.99
13Lam Crt	11.39	-18.78	5.08
78Iot Leo	11.40	10.53	4
79 Leo	11.40	1.41	5.39
14Eps Crt	11.41	-10.86	4.81
15Gam Crt	11.41	-17.68	4.06
81 Leo	11.43	16.46	5.58
80 Leo	11.43	3.86	6.35
83 Leo	11.45	3.01	6.49
16Kap Crt	11.45	-12.36	5.93
84Tau Leo	11.47	2.86	4.95
57 UMa	11.48	39.34	5.3
85 Leo	11.49	15.41	5.74
87 Leo	11.51	-3.00	4.77
86 Leo	11.51	18.41	5.54
58 UMa	11.51	43.17	5.94
1Lam Dra	11.52	69.33	3.82
88 Leo	11.53	14.36	6.27
Omi1Cen	11.53	-59.44	5.07
Omi2Cen	11.53	-59.52	5.12
Xi  Hya	11.55	-31.86	3.54
89 Leo	11.57	3.06	5.76
90 Leo	11.58	16.80	5.95
Lam Cen	11.60	-63.02	3.11
2 Dra	11.60	69.32	5.19
21The Crt	11.61	-9.80	4.7
91Ups Leo	11.62	-0.82	4.3
Pi  Cha	11.62	-75.90	5.64
59 UMa	11.64	43.63	5.56
1Ome Vir	11.64	8.13	5.24
60 UMa	11.64	46.83	6.09
24Iot Crt	11.64	-13.20	5.48
Omi Hya	11.67	-34.74	4.7
92 Leo	11.68	21.35	5.26
61 UMa	11.68	34.20	5.31
62 UMa	11.69	31.75	5.73
3 Dra	11.71	66.74	5.32
27Zet Crt	11.75	-18.35	4.71
2Xi  Vir	11.75	8.26	4.84
Lam Mus	11.76	-66.73	3.63
3Nu  Vir	11.76	6.53	4.04
63Chi UMa	11.77	47.78	3.69
4 Vir	11.80	8.25	5.31
93 Leo	11.80	20.22	4.5
Mu  Mus	11.80	-66.81	4.75
94Bet Leo	11.82	14.57	2.14
5Bet Vir	11.84	1.77	3.59
Bet Hya	11.88	-33.91	4.29
64Gam UMa	11.90	53.69	2.41
6 Vir	11.92	8.44	5.58
65 UMa	11.92	46.48	6.54
65 UMa	11.92	46.47	7.03
95 Leo	11.93	15.65	5.53
66 UMa	11.93	56.60	5.83
30Eta Crt	11.93	-17.15	5.17
Eps Cha	11.99	-78.22	4.88
7 Vir	12.00	3.66	5.36
8Pi  Vir	12.01	6.61	4.65
67 UMa	12.04	43.05	5.22
The1Cru	12.05	-63.31	4.32
2 Com	12.07	21.46	5.89
The2Cru	12.07	-63.17	4.72
Kap Cha	12.08	-76.52	5.04
9Omi Vir	12.09	8.73	4.12
Eta Cru	12.11	-64.61	4.14
Del Cen	12.14	-50.72	2.58
1Alp Crv	12.14	-24.73	4.02
10 Vir	12.16	1.90	5.95
11 Vir	12.17	5.81	5.72
2Eps Crv	12.17	-22.62	3.02
3 Com	12.18	16.81	6.4
3 Crv	12.18	-23.60	5.45
Rho Cen	12.19	-52.37	3.97
68 UMa	12.20	57.05	6.34
4 Com	12.20	25.87	5.66
5 Com	12.20	20.54	5.6
12 Vir	12.22	10.26	5.85
Del Cru	12.25	-58.75	2.79
69Del UMa	12.26	57.03	3.32
4Gam Crv	12.26	-17.54	2.58
6 Com	12.27	14.90	5.09
2 CVn	12.27	40.66	5.69
7 Com	12.27	23.95	4.93
Eps Mus	12.29	-67.96	4.06
Bet Cha	12.31	-79.31	4.24
Zet Cru	12.31	-64.00	4.06
13 Vir	12.31	-0.79	5.9
8 Com	12.32	23.03	6.26
9 Com	12.32	28.16	6.38
3 CVn	12.33	48.98	5.28
15Eta Vir	12.33	-0.67	3.89
16 Vir	12.34	3.31	4.97
5Zet Crv	12.34	-22.22	5.2
11 Com	12.35	17.79	4.72
70 UMa	12.35	57.86	5.54
Eps Cru	12.36	-60.40	3.59
Zet2Mus	12.37	-67.52	5.15
Zet1Mus	12.37	-68.31	5.73
12 Com	12.38	25.85	4.78
17 Vir	12.38	5.31	6.46
6 Crv	12.39	-24.84	5.66
4 CVn	12.40	42.54	6.03
5 CVn	12.40	51.56	4.76
13 Com	12.41	26.10	5.17
71 UMa	12.42	56.78	5.82
6 CVn	12.43	39.02	5.01
14 Com	12.44	27.27	4.92
Alp1Cru	12.44	-63.10	0.77
15Gam Com	12.45	28.27	4.35
16 Com	12.45	26.83	4.98
73 UMa	12.46	55.71	5.68
Sig Cen	12.47	-50.23	3.91
17 Com	12.48	25.91	5.29
18 Com	12.49	24.11	5.47
20 Com	12.50	20.90	5.68
7Del Crv	12.50	-16.52	2.94
74 UMa	12.50	58.41	5.37
7 CVn	12.50	51.54	6.21
75 UMa	12.50	58.77	6.07
4 Dra	12.50	69.20	5.01
21 Com	12.52	24.57	5.47
Gam Cru	12.52	-57.11	1.59
8Eta Crv	12.53	-16.20	4.3
Gam Mus	12.54	-72.13	3.84
20 Vir	12.55	10.30	6.29
5Kap Dra	12.56	69.79	3.85
22 Com	12.56	24.28	6.28
8Bet CVn	12.56	41.36	4.24
21 Vir	12.56	-9.45	5.48
9Bet Crv	12.57	-23.40	2.65
6 Dra	12.58	70.02	4.95
23 Com	12.58	22.63	4.8
24 Com	12.59	18.38	6.57
24 Com	12.59	18.38	5.03
25 Vir	12.61	-5.83	5.88
25 Com	12.62	17.09	5.7
Alp Mus	12.62	-69.14	2.69
Tau Cen	12.63	-48.54	3.85
9 CVn	12.65	40.87	6.35
26 Com	12.65	21.06	5.49
26Chi Vir	12.65	-8.00	4.66
Gam Cen	12.69	-48.96	2.2
76 UMa	12.69	62.71	6.02
27 Vir	12.69	10.43	6.22
29Gam Vir	12.69	-1.45	2.74
30Rho Vir	12.70	10.24	4.88
31 Vir	12.70	6.81	5.57
10 CVn	12.75	39.28	5.95
32 Vir	12.76	7.67	5.22
Iot Cru	12.76	-60.98	4.69
Bet Mus	12.77	-68.11	3.04
33 Vir	12.77	9.54	5.65
27 Com	12.78	16.58	5.12
34 Vir	12.79	11.96	6.11
7 Dra	12.79	66.79	5.43
Bet Cru	12.80	-59.69	1.25
35 Vir	12.80	3.57	6.42
28 Com	12.80	13.55	6.47
11 CVn	12.81	48.47	6.25
29 Com	12.82	14.12	5.71
30 Com	12.82	27.55	5.76
37 Vir	12.86	3.06	6.02
31 Com	12.86	27.54	4.93
32 Com	12.87	17.07	6.32
38 Vir	12.89	-3.55	6.11
35 Com	12.89	21.25	4.89
Kap Cru	12.90	-60.38	5.89
41 Vir	12.90	12.42	6.25
77Eps UMa	12.90	55.96	1.76
40Psi Vir	12.91	-9.54	4.77
Mu 1Cru	12.91	-57.18	4.03
Mu 2Cru	12.91	-57.17	5.08
Lam Cru	12.91	-59.15	4.62
Iot Oct	12.92	-85.12	5.45
8 Dra	12.92	65.44	5.23
43Del Vir	12.93	3.40	3.39
12Alp1CVn	12.93	38.31	5.61
12Alp2CVn	12.93	38.32	2.89
36 Com	12.98	17.41	4.76
44 Vir	12.99	-3.81	5.79
9 Dra	13.00	66.60	5.37
37 Com	13.00	30.79	4.88
46 Vir	13.01	-3.37	5.99
78 UMa	13.01	56.37	4.93
38 Com	13.02	17.12	5.97
47Eps Vir	13.04	10.96	2.85
Del Mus	13.04	-71.55	3.61
Xi 1Cen	13.06	-49.53	4.83
48 Vir	13.07	-3.66	6.62
14 CVn	13.10	35.80	5.2
39 Com	13.11	21.15	6
40 Com	13.11	22.62	5.53
Xi 2Cen	13.12	-49.91	4.27
41 Com	13.12	27.62	4.8
49 Vir	13.13	-10.74	5.15
The Mus	13.14	-65.31	5.44
45Psi Hya	13.15	-23.12	4.94
15 CVn	13.16	38.53	6.25
50 Vir	13.16	-10.33	5.95
51The Vir	13.17	-5.54	4.38
42Alp Com	13.17	17.53	4.32
17 CVn	13.17	38.50	5.91
43Bet Com	13.20	27.88	4.23
53 Vir	13.20	-16.20	5.04
54 Vir	13.22	-18.83	6.26
55 Vir	13.24	-19.93	5.31
Eta Mus	13.25	-67.89	4.79
19 CVn	13.26	40.86	5.77
57 Vir	13.27	-19.94	5.21
59 Vir	13.28	9.42	5.19
20 CVn	13.29	40.57	4.72
60Sig Vir	13.29	5.47	4.78
21 CVn	13.30	49.68	5.14
61 Vir	13.31	-18.31	4.74
46Gam Hya	13.32	-23.17	2.99
23 CVn	13.34	40.15	5.6
Iot Cen	13.34	-36.71	2.75
64 Vir	13.37	5.15	5.89
63 Vir	13.38	-17.74	5.36
65 Vir	13.39	-4.92	5.88
79Zet UMa	13.40	54.93	2.23
66 Vir	13.41	-5.16	5.76
Iot1Mus	13.42	-74.89	5.04
67Alp Vir	13.42	-11.16	0.98
80 UMa	13.42	54.99	3.99
68 Vir	13.45	-12.71	5.27
Iot2Mus	13.46	-74.69	6.62
69 Vir	13.46	-15.97	4.76
70 Vir	13.47	13.78	4.97
71 Vir	13.49	10.82	5.65
72 Vir	13.51	-6.47	6.1
74 Vir	13.53	-6.26	4.68
73 Vir	13.53	-18.73	6.01
75 Vir	13.55	-15.36	5.52
76 Vir	13.55	-10.16	5.21
81 UMa	13.57	55.35	5.6
78 Vir	13.57	3.66	4.92
24 CVn	13.57	49.02	4.68
79Zet Vir	13.58	-0.60	3.38
80 Vir	13.59	-5.40	5.7
25 CVn	13.62	36.29	4.82
82 UMa	13.66	52.92	5.46
Eps Cen	13.66	-53.47	2.29
1 Boo	13.68	19.96	5.73
83 UMa	13.68	54.68	4.63
Kap Oct	13.68	-85.79	5.56
2 Boo	13.68	22.50	5.63
82 Vir	13.69	-8.70	5.03
84 Vir	13.72	3.54	5.35
83 Vir	13.74	-16.18	5.55
85 Vir	13.76	-15.77	6.18
1 Cen	13.76	-33.04	4.23
86 Vir	13.77	-12.43	5.5
84 UMa	13.78	54.43	5.68
3 Boo	13.78	25.70	5.97
4Tau Boo	13.79	17.46	4.5
87 Vir	13.79	-17.86	5.41
85Eta UMa	13.79	49.31	1.85
2 Cen	13.82	-34.45	4.19
5Ups Boo	13.82	15.80	4.05
Nu  Cen	13.83	-41.69	3.41
Mu  Cen	13.83	-42.47	3.47
6 Boo	13.83	21.26	4.92
89 Vir	13.83	-18.13	4.96
10 Dra	13.86	64.72	4.58
3 Cen	13.86	-32.99	4.32
4 Cen	13.89	-31.93	4.75
7 Boo	13.89	17.93	5.71
86 UMa	13.90	53.73	5.7
8Eta Boo	13.91	18.40	2.68
90 Vir	13.91	-1.50	5.16
Zet Cen	13.93	-47.29	2.55
92 Vir	13.94	1.05	5.9
9 Boo	13.94	27.49	5.02
Phi Cen	13.97	-42.10	3.83
47 Hya	13.98	-24.97	5.2
10 Boo	13.98	21.70	5.76
Ups1Cen	13.98	-44.80	3.87
48 Hya	14.00	-25.01	5.77
11 Boo	14.02	27.39	6.23
93Tau Vir	14.03	1.54	4.23
Ups2Cen	14.03	-45.60	4.34
Bet Cen	14.06	-60.37	0.61
11Alp Dra	14.07	64.38	3.67
The Aps	14.09	-76.80	5.69
Chi Cen	14.10	-41.18	4.36
49Pi  Hya	14.11	-26.68	3.25
5The Cen	14.11	-36.37	2.06
95 Vir	14.11	-9.31	5.46
3 UMi	14.12	74.59	6.43
13 Boo	14.14	49.46	5.26
4 UMi	14.15	77.55	4.8
96 Vir	14.15	-10.33	6.45
12 Boo	14.17	25.09	4.82
50 Hya	14.21	-27.26	5.07
98Kap Vir	14.21	-10.27	4.18
17Kap1Boo	14.22	51.79	6.62
17Kap2Boo	14.22	51.79	4.53
14 Boo	14.23	12.96	5.53
15 Boo	14.25	10.10	5.29
16Alp Boo	14.26	19.19	-0.05
99Iot Vir	14.27	-6.00	4.07
21Iot Boo	14.27	51.37	4.75
19Lam Boo	14.27	46.09	4.18
Eta Aps	14.30	-81.01	4.89
100Lam Vir	14.32	-13.37	4.52
18 Boo	14.32	13.00	5.41
Iot Lup	14.32	-46.06	3.55
102Ups Vir	14.33	-2.27	5.14
20 Boo	14.33	16.31	4.84
Psi Cen	14.34	-37.89	4.05
Eps Aps	14.37	-80.11	5.06
51 Hya	14.38	-27.75	4.78
2 Lib	14.39	-11.71	6.22
23The Boo	14.42	51.85	4.04
Tau1Lup	14.44	-45.22	4.56
Tau2Lup	14.44	-45.38	4.33
22 Boo	14.44	19.23	5.4
Del Oct	14.45	-83.67	4.31
104 Vir	14.46	-6.12	6.18
5 UMi	14.46	75.70	4.25
52 Hya	14.47	-29.49	4.97
105Phi Vir	14.47	-2.23	4.81
24 Boo	14.48	49.84	5.58
106 Vir	14.48	-6.90	5.42
25Rho Boo	14.53	30.37	3.57
27Gam Boo	14.53	38.31	3.04
26 Boo	14.54	22.26	5.91
Sig Lup	14.54	-50.46	4.44
28Sig Boo	14.58	29.74	4.47
Eta Cen	14.59	-42.16	2.33
Rho Lup	14.63	-49.43	4.05
33 Boo	14.65	44.40	5.39
Alp2Cen	14.66	-60.84	1.35
Alp1Cen	14.66	-60.84	-0.01
29Pi 1Boo	14.68	16.42	4.49
30Zet Boo	14.69	13.73	3.78
31 Boo	14.69	8.16	4.86
32 Boo	14.70	11.66	5.55
Alp Lup	14.70	-47.39	2.3
Alp Cir	14.71	-64.97	3.18
107Mu  Vir	14.72	-5.66	3.87
4 Lib	14.72	-25.00	5.7
34 Boo	14.72	26.53	4.8
36Eps Boo	14.75	27.07	2.35
35Omi Boo	14.75	16.96	4.6
108 Vir	14.76	0.72	5.68
5 Lib	14.77	-15.46	6.33
54 Hya	14.77	-25.44	5.15
109 Vir	14.77	1.89	3.73
55 Hya	14.79	-25.62	5.61
56 Hya	14.80	-26.09	5.23
Alp Aps	14.80	-79.04	3.83
57 Hya	14.80	-26.65	5.76
38 Boo	14.82	46.12	5.76
7Mu  Lib	14.82	-14.15	5.32
39 Boo	14.83	48.72	5.68
58 Hya	14.84	-27.96	4.42
8Alp1Lib	14.84	-16.00	5.15
7Bet UMi	14.85	74.16	2.07
9Alp2Lib	14.85	-16.04	2.75
11 Lib	14.85	-2.30	4.93
37Xi  Boo	14.86	19.10	4.54
Omi Lup	14.86	-43.58	4.32
12 Lib	14.91	-24.64	5.27
13Xi 1Lib	14.91	-11.90	5.78
Zet Cir	14.91	-65.99	6.09
The Cir	14.95	-62.78	5.08
15Xi 2Lib	14.95	-11.41	5.48
16 Lib	14.95	-4.35	4.47
17 Lib	14.97	-11.15	6.61
Bet Lup	14.98	-43.13	2.68
59 Hya	14.98	-27.66	5.65
18 Lib	14.98	-11.14	5.88
Kap Cen	14.99	-42.10	3.13
40 Boo	14.99	39.27	5.64
19Del Lib	15.02	-8.52	4.91
Pi 1Oct	15.03	-83.23	5.65
42Bet Boo	15.03	40.39	3.49
60 Hya	15.04	-28.06	5.83
41Ome Boo	15.04	25.01	4.8
110 Vir	15.05	2.09	4.39
44 Boo	15.06	47.65	4.83
20Sig Lib	15.07	-25.28	3.25
43Psi Boo	15.07	26.95	4.52
Pi 2Oct	15.08	-83.04	5.65
Eta Cir	15.08	-64.03	5.16
Pi  Lup	15.09	-47.05	3.91
47 Boo	15.09	48.15	5.59
21Nu  Lib	15.11	-16.26	5.19
45 Boo	15.12	24.87	4.93
46 Boo	15.14	26.30	5.67
Lam Lup	15.15	-45.28	4.07
Ome Oct	15.19	-84.79	5.88
Kap1Lup	15.20	-48.74	3.88
Kap2Lup	15.20	-48.74	5.7
24Iot1Lib	15.20	-19.79	4.54
Zet Lup	15.20	-52.10	3.41
25Iot2Lib	15.22	-19.65	6.07
23 Lib	15.22	-25.31	6.47
48Chi Boo	15.24	29.16	5.28
26 Lib	15.24	-17.77	6.18
1 Lup	15.24	-31.52	4.91
3 Ser	15.25	4.94	5.32
49Del Boo	15.26	33.32	3.46
4 Ser	15.26	0.37	5.62
Del Cir	15.28	-60.96	5.04
27Bet Lib	15.28	-9.38	2.61
11 UMi	15.28	71.82	5.02
Bet Cir	15.29	-58.80	4.07
Eps Cir	15.29	-63.61	4.85
2 Lup	15.30	-30.15	4.35
Mu  Lup	15.31	-47.88	4.27
Gam TrA	15.32	-68.68	2.87
5 Ser	15.32	1.77	5.04
1Omi CrB	15.34	29.62	5.51
13Gam UMi	15.35	71.83	3
28 Lib	15.35	-18.16	6.16
29Omi Lib	15.35	-15.55	6.14
6 Ser	15.35	0.72	5.35
Del Lup	15.36	-40.65	3.22
Phi1Lup	15.36	-36.26	3.57
50 Boo	15.36	32.93	5.38
Nu 2Lup	15.36	-48.32	5.65
Nu 1Lup	15.37	-47.93	4.99
7 Ser	15.37	12.57	6.29
Eps Lup	15.38	-44.69	3.37
Phi2Lup	15.39	-36.86	4.54
2Eta CrB	15.39	30.29	4.99
Gam Cir	15.39	-59.32	4.48
8 Ser	15.40	-1.02	6.11
31Eps Lib	15.40	-10.32	4.92
51Mu 1Boo	15.41	37.38	4.31
51Mu 2Boo	15.41	37.35	6.51
Ups Lup	15.41	-39.71	5.36
12Iot Dra	15.42	58.97	3.29
9Tau1Ser	15.43	15.43	5.16
3Bet CrB	15.46	29.11	3.66
32Zet1Lib	15.47	-16.72	5.64
10 Ser	15.48	1.84	5.15
34Zet3Lib	15.51	-16.61	5.82
52Nu 1Boo	15.52	40.83	5.04
15The UMi	15.52	77.35	5
Kap1Aps	15.53	-73.39	5.4
53Nu 2Boo	15.53	40.90	4.98
12Tau2Ser	15.54	16.06	6.22
35Zet4Lib	15.55	-16.85	5.53
4The CrB	15.55	31.36	4.14
11 Ser	15.55	-1.19	5.5
37 Lib	15.57	-10.06	4.61
36 Lib	15.58	-28.05	5.13
5Alp CrB	15.58	26.71	2.22
13Del Ser	15.58	10.54	3.8
Gam Lup	15.59	-41.17	2.8
6Mu  CrB	15.59	39.01	5.14
38Gam Lib	15.59	-14.79	3.91
15Tau3Ser	15.59	17.66	6.1
18Tau5Ser	15.61	16.12	5.93
16 Ser	15.61	10.01	5.26
14 Ser	15.61	-0.56	6.51
Eps TrA	15.61	-66.32	4.11
39Ups Lib	15.62	-28.14	3.6
54Phi Boo	15.63	40.35	5.25
Ome Lup	15.63	-42.57	4.34
40Tau Lib	15.64	-29.78	3.66
41 Lib	15.65	-19.30	5.36
7Zet1CrB	15.66	36.64	4.64
3Psi1Lup	15.66	-34.41	4.66
42 Lib	15.67	-23.82	4.97
Kap2Aps	15.67	-73.45	5.64
19Tau6Ser	15.68	16.02	6
21Iot Ser	15.69	19.67	4.51
20Chi Ser	15.70	12.85	5.34
22Tau7Ser	15.70	18.46	5.8
43Kap Lib	15.70	-19.68	4.75
4Psi2Lup	15.71	-34.71	4.75
8Gam CrB	15.71	26.30	3.81
Rho Oct	15.72	-84.47	5.57
9Pi  CrB	15.73	32.52	5.57
23Psi Ser	15.73	2.52	5.86
16Zet UMi	15.73	77.79	4.29
44Eta Lib	15.73	-15.67	5.41
24Alp Ser	15.74	6.43	2.63
26Tau8Ser	15.75	17.26	6.15
25 Ser	15.77	-1.80	5.39
28Bet Ser	15.77	15.42	3.65
27Lam Ser	15.77	7.35	4.42
31Ups Ser	15.79	14.12	5.71
35Kap Ser	15.81	18.14	4.09
10Del CrB	15.83	26.07	4.59
32Mu  Ser	15.83	-3.43	3.54
34Ome Ser	15.84	2.20	5.21
37Eps Ser	15.85	4.48	3.71
5Chi Lup	15.85	-33.63	3.97
1 Sco	15.85	-25.75	4.63
11Kap CrB	15.85	35.66	4.79
36 Ser	15.85	-3.09	5.09
38Rho Ser	15.85	20.98	4.74
1Chi Her	15.88	42.45	4.6
39 Ser	15.89	13.20	6.07
45Lam Lib	15.89	-20.17	5.04
2 Sco	15.89	-25.33	4.59
46The Lib	15.90	-16.73	4.13
2 Her	15.91	43.14	5.35
3 Sco	15.91	-25.24	5.87
40 Ser	15.91	8.58	6.28
47 Lib	15.92	-19.38	5.95
Bet TrA	15.92	-63.43	2.83
Kap TrA	15.92	-68.60	5.11
4 Sco	15.93	-26.27	5.63
4 Her	15.93	42.57	5.73
12Lam CrB	15.93	37.95	5.43
41Gam Ser	15.94	15.66	3.85
5Rho Sco	15.95	-29.21	3.87
Xi 1Lup	15.95	-33.97	5.14
Xi 2Lup	15.95	-33.96	5.59
Phi Ser	15.95	14.41	5.54
13Eps CrB	15.96	26.88	4.14
48 Lib	15.97	-14.28	4.95
6Pi  Sco	15.98	-26.11	2.89
Eta Lup	16.00	-38.40	3.42
49 Lib	16.01	-16.53	5.47
7Del Sco	16.01	-22.62	2.29
50 Lib	16.01	-8.41	5.53
15Rho CrB	16.02	33.31	5.39
5 Her	16.02	17.82	5.1
14Iot CrB	16.02	29.85	4.98
13The Dra	16.03	58.56	4.01
44Pi  Ser	16.04	22.80	4.82
6Ups Her	16.05	46.04	4.72
Eta Nor	16.05	-49.23	4.65
Iot1Nor	16.06	-57.77	4.63
43 Ser	16.06	4.99	6.07
8Bet1Sco	16.09	-19.81	2.56
8Bet2Sco	16.09	-19.80	4.9
Del Nor	16.11	-45.17	4.73
The Lup	16.11	-36.80	4.22
9Ome1Sco	16.11	-20.67	3.93
10Ome2Sco	16.12	-20.87	4.31
11 Sco	16.13	-12.75	5.75
45 Ser	16.13	9.89	5.63
7Kap Her	16.13	17.05	5
7Kap Her	16.13	17.05	6.25
47 Ser	16.14	8.53	5.69
11Phi Her	16.15	44.93	4.23
8 Her	16.15	17.21	6.13
16Tau CrB	16.15	36.49	4.73
Iot2Nor	16.16	-57.93	5.57
19 UMi	16.18	75.88	5.48
10 Her	16.19	23.49	5.74
14Nu  Sco	16.20	-19.46	4
15Psi Sco	16.20	-10.06	4.93
16 Sco	16.20	-8.55	5.43
12 Sco	16.20	-28.42	5.67
13 Sco	16.21	-27.93	4.58
20 UMi	16.21	75.21	6.36
9 Her	16.22	5.02	5.46
Zet Nor	16.22	-55.54	5.78
Kap Nor	16.22	-54.63	4.95
17Chi Sco	16.23	-11.84	5.24
1Del Oph	16.24	-3.69	2.73
17Sig CrB	16.24	33.86	5.23
The Nor	16.25	-47.37	5.13
Del TrA	16.26	-63.69	3.86
16 Her	16.26	18.81	5.72
18 Sco	16.26	-8.37	5.49
18Ups CrB	16.28	29.15	5.8
Gam1Nor	16.28	-50.07	4.97
21Eta UMi	16.29	75.75	4.95
2Eps Oph	16.31	-4.69	3.23
Lam Nor	16.32	-42.67	5.44
22Tau Her	16.33	46.31	3.91
Gam2Nor	16.33	-50.16	4.01
Del1Aps	16.34	-78.70	4.68
Del2Aps	16.34	-78.67	5.27
19Omi Sco	16.34	-24.17	4.55
20Sig Sco	16.35	-25.59	2.9
20Gam Her	16.37	19.15	3.74
50Sig Ser	16.37	1.03	4.82
19Xi  CrB	16.37	30.89	4.86
20Nu 1CrB	16.37	33.80	5.2
21Nu 2CrB	16.37	33.70	5.4
14Eta Dra	16.40	61.51	2.73
4Psi Oph	16.40	-20.04	4.48
21 Her	16.40	6.95	5.83
25 Her	16.42	37.39	5.53
24Ome Her	16.42	14.03	4.57
5Rho Oph	16.43	-23.45	4.57
7Chi Oph	16.45	-18.46	4.22
Eps Nor	16.45	-47.55	4.46
3Ups Oph	16.46	-8.37	4.62
Iot TrA	16.47	-64.06	5.28
15 Dra	16.47	68.77	4.94
Zet TrA	16.47	-70.08	4.9
30 Her	16.48	41.88	4.83
21Alp Sco	16.49	-26.43	1.06
34 Her	16.50	48.96	6.44
22 Sco	16.50	-25.12	4.79
27Bet Her	16.50	21.49	2.78
10Lam Oph	16.52	1.98	3.82
8Phi Oph	16.52	-16.61	4.29
9Ome Oph	16.54	-21.47	4.45
28 Her	16.54	5.52	5.63
29 Her	16.54	11.49	4.84
Gam Aps	16.56	-78.90	3.86
Mu  Nor	16.57	-44.05	4.86
35Sig Her	16.57	42.44	4.2
The TrA	16.60	-65.50	5.5
23Tau Sco	16.60	-28.22	2.82
16 Dra	16.60	52.90	5.53
17 Dra	16.60	52.92	5.07
12 Oph	16.61	-2.32	5.77
13Zet Oph	16.62	-10.57	2.54
42 Her	16.65	48.93	4.86
36 Her	16.68	4.21	6.92
37 Her	16.68	4.22	5.77
18 Dra	16.68	64.59	4.84
40Zet Her	16.69	31.60	2.81
Eta1TrA	16.69	-68.30	5.89
39 Her	16.69	26.92	5.92
14 Oph	16.70	1.18	5.74
44Eta Her	16.71	38.92	3.48
Bet Aps	16.72	-77.52	4.23
16 Oph	16.76	1.02	6.02
43 Her	16.76	8.58	5.15
22Eps UMi	16.77	82.04	4.21
25 Sco	16.78	-25.53	6.72
19 Oph	16.79	2.06	6.07
45 Her	16.80	5.25	5.22
Alp TrA	16.81	-69.03	1.91
52 Her	16.82	45.98	4.82
Eta Ara	16.83	-59.04	3.77
20 Oph	16.83	-10.78	4.64
26Eps Sco	16.84	-34.29	2.29
47 Her	16.84	7.25	5.48
50 Her	16.84	29.81	5.73
21 Oph	16.86	1.22	5.51
51 Her	16.86	24.66	5.03
Mu 1Sco	16.86	-38.05	3
49 Her	16.87	14.97	6.51
Mu 2Sco	16.87	-38.02	3.56
53 Her	16.88	31.70	5.34
Zet1Sco	16.90	-42.36	4.7
25Iot Oph	16.90	10.17	4.39
Zet2Sco	16.91	-42.36	3.62
23 Oph	16.91	-6.15	5.23
56 Her	16.92	25.73	6.06
54 Her	16.92	18.43	5.35
19 Dra	16.93	65.13	4.88
20 Dra	16.94	65.04	6.4
24 Oph	16.95	-23.15	5.57
27 Sco	16.95	-33.26	5.48
57 Her	16.96	25.35	6.27
27Kap Oph	16.96	9.38	3.19
Zet Ara	16.98	-55.99	3.12
Eps1Ara	16.99	-53.16	4.06
26 Oph	17.00	-24.99	5.74
58Eps Her	17.00	30.93	3.92
30 Oph	17.02	-4.22	4.82
59 Her	17.03	33.57	5.27
29 Oph	17.03	-18.89	6.28
Eps2Ara	17.05	-53.24	5.27
61 Her	17.06	35.41	6.19
21Mu  Dra	17.09	54.47	4.91
60 Her	17.09	12.74	4.89
22Zet Dra	17.15	65.71	3.17
35Eta Oph	17.17	-15.73	2.43
63 Her	17.18	24.24	6.2
Eta Sco	17.20	-43.24	3.32
37 Oph	17.21	10.59	5.32
64Alp1Her	17.24	14.39	2.78
65Del Her	17.25	24.84	3.12
67Pi  Her	17.25	36.81	3.16
36 Oph	17.26	-26.60	4.33
41 Oph	17.28	-0.45	4.72
Lam UMi	17.28	89.04	6.31
68 Her	17.29	33.10	4.8
69 Her	17.29	37.29	4.64
39Omi Oph	17.30	-24.28	6.59
39Omi Oph	17.30	-24.29	5.14
74 Her	17.34	46.24	5.51
72 Her	17.34	32.47	5.38
53Nu  Ser	17.35	-12.85	4.32
70 Her	17.35	24.50	5.13
40Xi  Oph	17.35	-21.11	4.39
Zet Aps	17.37	-67.77	4.76
42The Oph	17.37	-25.00	3.27
Iot Aps	17.37	-70.12	5.39
Iot Ara	17.39	-47.47	5.21
43 Oph	17.39	-28.14	5.3
75Rho Her	17.39	37.15	4.15
73 Her	17.40	22.96	5.7
Bet Ara	17.42	-55.53	2.84
Gam Ara	17.42	-56.38	3.31
Kap Ara	17.43	-50.63	5.19
44 Oph	17.44	-24.18	4.16
49Sig Oph	17.44	4.14	4.34
77 Her	17.45	48.26	5.83
45 Oph	17.46	-29.87	4.28
23Bet Dra	17.51	52.30	2.79
76Lam Her	17.51	26.11	4.41
34Ups Sco	17.51	-37.30	2.7
24 UMi	17.51	86.97	5.78
Del Ara	17.52	-60.68	3.6
51 Oph	17.52	-23.96	4.78
78 Her	17.53	28.41	5.66
Alp Ara	17.53	-49.88	2.84
27 Dra	17.53	68.13	5.07
24Nu 1Dra	17.54	55.18	4.89
